CalfMaxGirth,AnkleMinGirth,BicepGirth,ForearmGirth,WristMinGirth,Age,Weight,Height,Gender
39.1,23,32.8,27,16.5,26,73.6,170.2,0
34,21.7,26.6,23.7,15.1,23,62.3,175.2,0
31,19.2,25.8,23,14.7,32,57.7,175.2,0
34.6,21.7,28.8,24.7,15.8,32,55.4,160,0
45.4,24.1,35.9,30.6,17.8,43,104.1,165.1,0
34.7,18.5,25.7,21.9,13.9,32,55.5,174,0
38.2,22.2,34.1,27.6,16.3,41,77.3,170.2,0
38.7,23.7,31.7,25.5,16.3,33,80.5,160,0
34.4,21.2,31.1,24.4,14.2,28,64.5,167.6,0
36.3,21.3,29.9,24.9,15.5,28,72.3,167.6,0
34.2,20.5,28.8,23.2,14.8,25,61.4,167.6,0
37.4,22.5,29.3,23.1,14.4,38,58.2,154.9,0
35.5,19.5,35.7,25.6,15,37,81.8,162.6,0
33,21.6,27,22.3,15,25,63.6,175.3,0
30.8,19.9,24.4,22.1,14.1,37,53.4,171.4,0
31.7,21.7,24.9,22.3,13.4,27,54.5,157.5,0
32.5,21.7,25.6,23,14.6,27,53.6,165.1,0
34.9,21.4,27.3,24,14.6,20,60,160,0
37.7,23.7,29.9,25,16.2,19,73.6,174,0
31.9,19.6,27.6,23.3,15.4,32,61.4,162.6,0
32.7,20.3,25.5,23,14.9,26,55.5,174,0
39.7,21.6,31,26.3,15.4,56,63.6,162.6,0
34.6,23,28.3,24.7,16.6,23,60.9,161.3,0
32.7,20.9,28.1,23.1,15.2,19,60,156.2,0
33.1,21,26.8,22.8,15.4,31,46.8,149.9,0
35.2,22.4,26.2,22.6,15.2,34,57.3,169.5,0
35,21,29.6,25.1,15.9,34,64.1,160,0
34.1,21.3,26.4,23,15,24,63.6,175.3,0
37.5,22.6,30.2,24.4,15.7,22,67.3,169.5,0
37.9,24.6,36.9,29,16.4,34,75.5,160,0
36.6,22.3,28.1,24.3,15.4,30,68.2,172.7,0
33.8,20.8,32,25.1,15.9,32,61.4,162.6,0
37,21.4,32.3,26.4,15.8,40,76.8,157.5,0
37.9,22.4,30.3,25.4,15.4,29,71.8,176.5,0
33.3,22.4,30.1,23.6,15.2,21,55.5,164.4,0
34.1,21.2,27.4,24,15.5,33,48.6,160.7,0
36.6,22,30.6,24.9,15.5,33,66.4,174,0
35.9,23,33.2,25.5,16.4,38,67.3,163.8,0
